processed_text,label,dominant_topic,topic_confidence,topic_keywords
gud gud gud gud first game,negative,1,0.012065434541141068,"game, nice, like, favourite, fun"
f game cant connect server,negative,1,0.04091057205608803,"game, nice, like, favourite, fun"
game greatbut problem installed game month showed lisence issuescam,negative,1,0.06725431907740338,"game, nice, like, favourite, fun"
long download,negative,5,0.018321629203945766,"minecraft, love, play, please, like"
video game visit comeback play year first video game adult money,negative,1,0.04467564444482096,"game, nice, like, favourite, fun"
bad bug,negative,5,0.010880357679260778,"minecraft, love, play, please, like"
paisa cut ho gaye par game install nahi hua money waste ho gaya fake game,negative,1,0.03194403708407,"game, nice, like, favourite, fun"
good game aise game aur aane chahiye,negative,2,0.09873872611615626,"good, game, really, friend, app"
turning point game industry release masterpiece,negative,1,0.027534522512448374,"game, nice, like, favourite, fun"
favourite game,negative,1,0.08355264759562793,"game, nice, like, favourite, fun"
fun game sometimes check need updating show make go beta,negative,1,0.025097463362317874,"game, nice, like, favourite, fun"
fav game ther u one problem sometimes play kick game love good job game,negative,1,0.0661966280216627,"game, nice, like, favourite, fun"
op game,negative,4,0.2912359969570893,"op, game, minecraft, ever, app"
hi roblox revews kinda boring soo anoying,negative,5,0.00481297877923991,"minecraft, love, play, please, like"
fav game want play game someone anyone friend,negative,1,0.05504114187683471,"game, nice, like, favourite, fun"
family friendly fun game u fun friend people type game like mm hide seek play minecraft almost everyday love whoever made game shouldve payed alot dollar old boring game ik people say boring opinion,negative,5,0.06531902896542105,"minecraft, love, play, please, like"
keep throwing back home screen im tired fix im deleting app,negative,5,0.021835238617043447,"minecraft, love, play, please, like"
despite buying minecraft still get message failed verify need online access minecraft always able get connection forced download mod,negative,5,0.09067867438151915,"minecraft, love, play, please, like"
game bad,negative,1,0.0715551082423865,"game, nice, like, favourite, fun"
already paid unable install go back install,negative,5,0.02129453927169792,"minecraft, love, play, please, like"
best game ever mad,negative,3,0.0988570226884962,"best, ever, world, game, played"
game nya cukup bagus saya sudah download sejak november karena harga nya murah dan ini salah satu game impian saya dari tahun ingin mencoba bermain game minecraft versi berbayar di google play store setelah mencoba nya ternyata lumayan cukup puas worth karena bisa mengembangkan kreatifitas di dalam game ini dan juga lebih cukup detail realistis tidak sebanding dengan versi bajakan,negative,1,0.03296807036029093,"game, nice, like, favourite, fun"
game really fun like everything lag wich annoy sometimes player stick one place nothing last minute go time kick whole game needed rejoin game,negative,1,0.04953720148613124,"game, nice, like, favourite, fun"
game old,negative,1,0.0634850061929973,"game, nice, like, favourite, fun"
dream game loveeeeee minecraft like dream thanks mojeng game,negative,5,0.05895175133408489,"minecraft, love, play, please, like"
rating game recover option minecraft doesnt option world recover think minecraft work recover option like bgmi etc,negative,5,0.0650226906240958,"minecraft, love, play, please, like"
game sam,negative,1,0.1996057720978985,"game, nice, like, favourite, fun"
fire game,negative,1,0.05333544464627002,"game, nice, like, favourite, fun"
love game playing year fav game goog job mojang,negative,1,0.056826800702807746,"game, nice, like, favourite, fun"
love game fun play friend faraway dont like buy game every time get like new device want bad could make free player join game,negative,5,0.08213654938987727,"minecraft, love, play, please, like"
wheres musicis nothing like game psxbox,negative,1,0.05841432620133879,"game, nice, like, favourite, fun"
worst cant survive day survival world creeper house world ruined deleted creeper,negative,5,0.016955158178733304,"minecraft, love, play, please, like"
game doesnt work device played game pc addicted game,negative,1,0.07310739309738754,"game, nice, like, favourite, fun"
fix piece trash copy unplayable,negative,5,0.009195606712403886,"minecraft, love, play, please, like"
thank mojang reduce price minecraft ruppes affordable buy game,negative,5,0.08555088146712528,"minecraft, love, play, please, like"
control play game small customize control make big size small wish could make bigger original version option,negative,5,0.017072935793554622,"minecraft, love, play, please, like"
problem game sometimes get kicked minecraft every keep happening sometimes there bad lag mess gameplay thes problem could get fixed ill give star thanks yeah someone please look play minecraft better idk didnt used point yeah,negative,5,0.08052051534948067,"minecraft, love, play, please, like"
