processed_text,label
gud gud gud gud first game,negative
f game cant connect server,negative
game greatbut problem installed game month showed lisence issuescam,negative
long download,negative
video game visit comeback play year first video game adult money,negative
bad bug,negative
paisa cut ho gaye par game install nahi hua money waste ho gaya fake game,negative
good game aise game aur aane chahiye,negative
turning point game industry release masterpiece,negative
favourite game,negative
fun game sometimes check need updating show make go beta,negative
fav game ther u one problem sometimes play kick game love good job game,negative
op game,negative
hi roblox revews kinda boring soo anoying,negative
fav game want play game someone anyone friend,negative
family friendly fun game u fun friend people type game like mm hide seek play minecraft almost everyday love whoever made game shouldve payed alot dollar old boring game ik people say boring opinion,negative
keep throwing back home screen im tired fix im deleting app,negative
despite buying minecraft still get message failed verify need online access minecraft always able get connection forced download mod,negative
game bad,negative
already paid unable install go back install,negative
best game ever mad,negative
game nya cukup bagus saya sudah download sejak november karena harga nya murah dan ini salah satu game impian saya dari tahun ingin mencoba bermain game minecraft versi berbayar di google play store setelah mencoba nya ternyata lumayan cukup puas worth karena bisa mengembangkan kreatifitas di dalam game ini dan juga lebih cukup detail realistis tidak sebanding dengan versi bajakan,negative
game really fun like everything lag wich annoy sometimes player stick one place nothing last minute go time kick whole game needed rejoin game,negative
game old,negative
dream game loveeeeee minecraft like dream thanks mojeng game,negative
rating game recover option minecraft doesnt option world recover think minecraft work recover option like bgmi etc,negative
game sam,negative
fire game,negative
love game playing year fav game goog job mojang,negative
love game fun play friend faraway dont like buy game every time get like new device want bad could make free player join game,negative
wheres musicis nothing like game psxbox,negative
worst cant survive day survival world creeper house world ruined deleted creeper,negative
game doesnt work device played game pc addicted game,negative
fix piece trash copy unplayable,negative
thank mojang reduce price minecraft ruppes affordable buy game,negative
control play game small customize control make big size small wish could make bigger original version option,negative
problem game sometimes get kicked minecraft every keep happening sometimes there bad lag mess gameplay thes problem could get fixed ill give star thanks yeah someone please look play minecraft better idk didnt used point yeah,negative
video game world,negative
game bad,negative
one game god play store,negative
cool game,negative
five star game cant change server,negative
favourite game,negative
goodgreat game funner since hardcore came,negative
loved game gave star like year ago however change one star longer update game anymore option literally gone im still dont know minecraft isnt compatible low end device gb ram would like answer can update game,negative
w game,negative
continuous crashing seemingly reason building house starting farm game crash reason crashing mention lag single player world even possible killed multiple time,negative
op game mobile,negative
mass game ever,negative
minecraft doesnt deserve star since would died year ago player mojang seems utterly useless,negative
op game,negative
unable connect multiplayer,negative
mass game,negative
lincense error download day ago say trouble verifying dat mine device like heck star give back money,negative
game heart touching game love game,negative
sikibidi toilet,negative
fire game,negative
use love game updated control absolutely hate destroyed drive etc play since playing old way year year cant stand build new control,negative
w game,negative
gi pu game,negative
keep making delete important apps dont want delete hate updating every time make delete apps dont want delete get rid point im going stop playing minecraft,negative
favourite game,negative
love minecraft lag bad,negative
cool game plis download,negative
bug use customized control ingame ride horse animal control reset annoying customize plzz fix device infinix note,negative
billion block billion world game soo many mob thanks less price make unlimited aura game download game try new univers thing bad soo many bug pc version bug soo many lesser mobile version choose minecraft pclepotop version game helpful easy fun byy thanks practice game byyeeee,negative
super game miand blowing,negative
minecraft pls fix every time join game press inventory screen turn black kick game pls fix,negative
emotionally attached game download play download minecraft chrome browser,negative
game many issue bad game,negative
already buy game cant instal dont know always error,negative
good game buy game pocket java bedrock,negative
game century,negative
favourite final playing time favourite game ever,negative
bhai hamara game server log nahi ho raha hai hamne sign bhi kar rakha legal tarika se minecraft ko download kiya hai pls solve problem,negative
minecraft great game first got game thought would like every game wrong game absolutely cool cant stop playing every time enchant armor texture get glitched,negative
game interesting informative create new idea game,negative
life minecraft endless thing started play craked version price game time version game changed started youtub namely bit iman please subscribe l recommend play fun relaxing game buld survive learned elder brother play friend play bedrock java thanks reading thanks developer,negative
really good everything super effing annoying try join friend mod world mobile data tried join download everything keep turning mobile data please fix bug im getting really annoyed,negative
like game much,negative
really fun game never get boring there much,negative
game play,negative
world bast game,negative
game keep putting beta trying get looking video minecraft said doesnt work ill change rating find stupid put someone beta pop nothing,negative
make minecarts faster make diamond less rarer,negative
last update made unable upload world hell minecraft,negative
cutey game aahaahahahah,negative
op game,negative
game work multiplayer connectivity rather making new mob,negative
love game played year control update worst update bring back old dpad control crosshair,negative
game help improve imagination people,negative
pale garden biome game rest fine,negative
game nice game daily playing realistic game,negative
favourite game p pic game favourite pc game,negative
im topo op game,negative
poor game trued install time always showing cant installi followed guidance whuch provided still downloaded,negative
wow word game game amazing childhood game,negative
w game,negative
cant install game already paid,negative
favourite game minecraft,negative
like building keep signing letting back deleting skinsdeleting world annoying fix youve lost business downloaded tried sign account guess never ever got code get star,negative
game fun,negative
op game,negative
hey user bought thus game trusted bought rupee rupee rupee liked game much want fix issue water source showing black black outside blue inside please fix buy game bug put trust please dont let,negative
op game,negative
ive playing minecraft since late lovee itt heart even though dont play much anymore still charming game literally anyone play dont get wrong thing make gameplay slightly frustrating theyve updated dpad mobile kinda horrible scoffed glitchy inconvenient time oh screen also sometimes glitch stutter try look around,negative
one favorite game l playing game l love game,negative
goat game,negative
beast game world,negative
game working saying minecraft isnt responding please fix idk saying money also waste,negative
please fix glitch game good bug ar irritating game chal hi nehi raha please fixed,negative
game fun like itevery time join beta got uninstall alright know secret mojang think u watch eystreem see secret released online add holiday creator feature back wan use mod add back new update review one star,negative
addons block getting achievement trophy java add mod still get base game achievementstrophies bedrock get blocked fun trying get achievement trophy,negative
bahut badhiya game,negative
game giltch opened dead respawn item gone reduced vanished effort vain,negative
far game go say downside update glitch skin wont show import skin custom forever stuck loading happing right sometimes glitch bug bad even uninstalling game wont fix good game really starting sloppy update,negative
use good game absolutely un playable everything glitch never able join sever dose actually work game feel half assed awful forever mc fan straight garbage screw microsoft,negative
game childhood,negative
favourite game,negative
finally thank fixing glitch game performance lag reasongg,negative
horrible doesnt like like update every minute,negative
break job block villager still job pls fix im tired bug,negative
game turn,negative
nice game game heart piece yaar,negative
game stutter freeze every second z fold changing graphic setting effect amount freeze stutter,negative
im stuck beta mode cant join friend game cant get ticket weird code inbtop screen didnt ask ton gte beta,negative
fun game,negative
personally really like game really great wish way transfer mobile copy pc copy game ill buy already know thats possible,negative
pls fix amour glitch enchanting amination look like block also ruin experience game,negative
annoying always say couldnt validate login please mojang fix issue,negative
dont get wrong game perfect much fun friend could see used mobile phone could join server could join friend could join chromebook flippin annoying cant even get multiplayer even possible reason need guardian allow literally multiplayer instantly phone get rid annoying,negative
latest dpad layout design look horrendously bad compared previous one revert back,negative
bought game expensive low price many month,negative
bad really doesnt let download alot space,negative
wtffff hate give star u guyss listening u fixed screen freeze problem happening android phone happening fav game bug annoying plz fix also want giva star rating game plz fix reduce lag game phone gb ram proccesser good phone new still lag like fps plz optimise game,negative
best game world favourite game life multiplayer game survival game,negative
game uniqueful,negative
dream game,negative
nice game ill playing since year trail update disappointed travel trial chamber didnt get heavy core please increase chance heavy core,negative
fix lag problem game start lagging due overbuilding,negative
good one problem play like minute hour always lag game annoying hate still good game,negative
goog bad,negative
hate new minecraft map update bought woodland mansion map far away dont know go there pointer there white circle,negative
never played game give enjoyment fun game,negative
adventure game,negative
waste money cant even play survival freeze every even though using high end device,negative
game keep crashing loading,negative
literally game nostalgic always play ive never anything wrong,negative
like game really fun still would like parity feature bedrock java make fewer difference problem get trying save world externally,negative
im playing since game came yr ago building derpy house monument lot memory game thank u mojang,negative
love game played minecraft since st released pc till mobile device there issue minecraft noticed lag issue game block tree break block stock pas even already bin broken make xray pas see ore cave even dont xray mod lag issue facing north south laggy even phone run extreme mode please fix problem next update,negative
m beast game c love game game good,negative
favourite game,negative
game goat game,negative
game nya seru,negative
one problem elytron ki sahayata se ud nahi paa raha hu second problem hard core moode nahi khel paa raha hu,negative
getting worse worse new updatenow doesnt even let customize character skin without logging inblatant money grabbing attempt microsoft,negative
thing glitch take stuff f imagery close game,negative
installed cant buy waste money,negative
black smear game ender portal,negative
love game swear game like thank creating game called minecraft,negative
lag bad,negative
game get boring unless play friend group larger pay money play time lackluster update mojang doesnt care community,negative
game emotion,negative
wish could rate zero star write review game minecraft frame rate drop one facing problem many play smart phone dont know mojang fix game really disappointed,negative
game dee,negative
oppppppp game,negative
waste lot time,negative
minecraft boring make end date homeless get richer richer richer,negative
love game fun sometimes scary,negative
buy game boring game start say world garbage game please give refund game,negative
mod wala game hi,negative
favourite game among,negative
bad install mobile,negative
game suck dont know recovermy world worked hard,negative
creeper awful blasting hour new update included irritating creeper,negative
game improving creativity,negative
best game always play multiplayer server single player recent update swiming game much difficult using dpad somtimes player stop second mob wont give damage quite annoying died lot due really frustrating please fix mojang overall hate best game,negative
bast game,negative
unbelievable game thanks rupee,negative
bad greedy,negative
played game im addicted fun,negative
womp womp worst game ever,negative
like game block mob gamemodes,negative
poor performance ptw update,negative
like game new bundle build anything want ill rate star,negative
would give game star wasnt laggy even playing offline still lag like atleast make game optimise know microsoft love money optimise game theyre make money one like playing game optimise,negative
minecraft good play friend sometimes minecraft boring,negative
game quite fun know way around survival though choose play survival creative truly depends wan play game,negative
game downloading dont know reason give downloading install working full internet see game maker issue,negative
said need authenticate microsoft account even tho im already login even showed menu hate cant play,negative
game emotion kerala gaming community,negative
bought game,negative
mind blowing game would interest play one thing game freeze break block also walk game become freeze,negative
game feeling ilove game much,negative
basti game india,negative
favorite game cant find game like minecraft besttttttttttt game world,negative
trash doesnt work always freeze phone always glitch always pause reason stupid game,negative
bad game sorry good game yes,negative
game download minecraft,negative
minecraft awesomest game ever,negative
like game much,negative
really miss day enjoy goat game friend server day become bad although purchased many effort face disconnected server joining server pls fix mojang dont forget op game surpassed game covid time,negative
make lot different building game,negative
minecraft favourite game,negative
good game like favourite game,negative
bought game cant install frustrating please fix issue mojang say cant install mincraftplay friendstry doesnt work see common way fix problem,negative
wast game india,negative
absolutely hate recent change control overcomplicates thing way much understand upgrading match new ui least give way use classic split control instead,negative
horrible,negative
fun game,negative
mojang please add function let u change version game bedrock please please item holded hand,negative
deleted world didnt save bot dumb know want lost much progress,negative
fav game,negative
w game,negative
realistic game,negative
really good tablet weird glitch cant import addons game open google wallet wps office minecraft super annoying game good otherwise,negative
bought game twice play phone give license error give money back,negative
minecraft favourite game,negative
continues delete inventory anytime quit game solution work apparently issue decade sheer incompetence minecraft dev team astonishing every single one lose job barred ever participating game industry rest pathetic life app buggy disaster,negative
bhadiya game,negative
thing wrong hard play mobile,negative
cant login due sign method isnt sign inside application instead using chrome third party app cause minecraft restart everytime sign reset game forcing sign losing world progress time,negative
normally id give star despite saying im longer beta play store im still beta app hate betai cant play anyone extremely laggy even deleted redownload still im beta tried giving feedback there option want beta mode cant play,negative
hate,negative
game worst knock real minecraft bad hated,negative
bad singing knowing,negative
goood game,negative
mean minecraft favourite game open app load game say app can continue close didnt rn cant play minecraft stress,negative
feel bug lag game,negative
op game,negative
game funnnnn,negative
laggy got killed home encountered zombie cave hour ago,negative
im done minecraft failed company ive read almost every negative review relate every single person im furious awesome game changed pile ash worth nothing im uninstalling waste buck extreme lag skin bug texture loading countless error anyone reading better playing pc xbox work properly microsoft failed million people breaking mobile minecraft done,negative
need tell think might already know goated game,negative
game taking tge piss minecraft flip wanted load skin use wifi let load skin realm use wifi can join friend play anybody piss take game hope creator get fricked alleyway edition horrible one even tho one great get touched,negative
unable download minecraft phone,negative
mere phone mein minecraft game download nahin ho pa rahi raja raha hai kuchh uska koi solution hai bataiyega,negative
playing minecraft since v v boring play interesting thing boring new thing come new update interesting please make interesting,negative
fun game,negative
og game full memory,negative
w game pls add bedrock stuff like java,negative
worst app ever seen cant even install,negative
disappointed new update controler pad minecraft increase gap bw button movement please solve issue request,negative
noobda game,negative
cant play game bought hour work doesnt,negative
app list great game creativity definitely recommend something also wrong marketplace wont let device download anything oh well also psst mojang change photo mobile doesnt accurately show game,negative
game fire played since im yo,negative
aop game,negative
game yang sangat bagus,negative
dont like game another sentence title game,negative
favourite game gta,negative
bored plan play offline,negative
well let start sandbox since sandbox mean endless yeah,negative
noice game guy,negative
good game every time uninstall game pay far happened time,negative
gooood game,negative
bast game lif,negative
game suckss,negative
badest game ever giving literally star game seen literally lagging,negative
paid game saying dont license month still cant access game,negative
hello mojang world missing diamond need help game one world missing diamond,negative
pay rupee game game install device minecraft please something,negative
bast game,negative
verry nice game favourite game,negative
good game mojang studio please collab rockstar game,negative
betaaii can join server paid got bad want minecraft solve problem,negative
best game ever second place whenever get bored play game cod,negative
really like game,negative
thing dont like control uncomfortable yes option customize there much freedom inside,negative
bast game walda,negative
gaming playing long time,negative
op game,negative
suddenly im running minecraft beta despite signing get unstable mess outta,negative
game always number one game childhood style soundtrack ambience nostalgia game want make cry everytime hear wet hand mouse venus,negative
clearly optimized phone menu stretch corner screen making unable click back button also terrible app purchase profanity filter sign world name singleplayer lol edit year later button still rounded corner screen nearly impossible tap ever get fixed,negative
word say goodness game,negative
playing year never got bored,negative
game fun friend buy,negative
dont axolotl onesie since updated game,negative
game lag freeze need fix game bad,negative
absolutely horrible lagging time doesnt show friend list disappearing world overheats phone quickly love playing game cant enjoy doesnt work used good game ruined,negative
game fun,negative
control mobile kinda bad computer theynaremgoodmso isna great game,negative
lovli game,negative
game,negative
water texture glass black,negative
waste time,negative
mobile minecraft working mean downloading,negative
game good can join server india click server wan join show disconnected server long load time please fix wan play minecraft friend bad,negative
great game ive playing since came however chromebook cant play minute crash thought first due people server thats case could standing base anything game crash love game frustrating play minute time,negative
game good hate sign glitch let go button showing uninstalled game solve glitch hack game,negative
id rate huge negative number actually yknow problem cant even import skin mean tried everything literally everything told x x either x also png file still nothing worked,negative
bad joining server,negative
bad experience work mobile worked working properly entire ui completely messed working properly want money backthere need buy game guarantee whether run mobile purchasing,negative
look see start universe yes bad bedrock atleast multiplayer note fixed im deleting funny,negative
fun game would give star ran hp chromebook x work month crash mysteriously running strange restarts computer open world werent customnamed somehow deleted think game somehow overloaded computer caused delete data also world crashed like mb please fix get hour world back,negative
game terbaik yang ku punya,negative
game actually fun,negative
great game og year there time boring always,negative
game become lackluster simply new addition mojang releasing dont fix game main issue instead focus adding small filler gimmick main issue game combat im exaggerating everytime go server pvp fight pve survival mode simply boring strategy involved tap damage make game perfect change combat system completely change java edition coward,negative
playing since game heart thx creation,negative
favourite game,negative
game fantastic starting unlimited creativity secure base complicated redstone definitely buy,negative
addicting much fun could spend hour game scary level fun stressful,negative
cant download bad fixed itedited,negative
