text,actual_label,predicted_label,prob_negative,prob_neutral,prob_positive,is_correct
cant believe free fun exploring everything game part love playing friend get hang play together role play others,positive,positive,0.17857982278915369,0.005264905937357231,0.8161552712734892,True
guy one made game tried download took two day hate didnt download,negative,negative,0.8538980951845766,0.06232099491392128,0.08378090990150218,True
tried downloading payed said cant install,neutral,neutral,0.06512613295644727,0.9086458451514264,0.026228021892126394,True
aight,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
minecraft ajj mera birthday hai mera mincraft downlowd nhi ho rha downlowd huaa mai kbi bhi minecraft delete nhi karuga,neutral,neutral,0.010444394107743202,0.976934399734975,0.01262120615728175,True
devs people attempting kill game mobile version,negative,negative,0.9481543179939106,0.011847928227501648,0.0399977537785875,True
nice game,positive,positive,0.04395948244899335,3.626988494501355e-06,0.9560368905625122,True
cometimes game stopped sec,negative,negative,0.9858986376355916,0.0021898304216264753,0.011911531942781963,True
wat da sigma,neutral,neutral,0.024723374148746893,0.9527291117314158,0.022547514119837263,True
freedom world,neutral,neutral,0.02776839665100307,0.9331540709395633,0.03907753240943388,True
wonderful game,positive,positive,0.16577697437200561,0.0038393955064952613,0.8303836301214992,True
game awesome started play game today like game,negative,negative,0.8605100835535358,0.0001091073858398146,0.13938080906062444,True
dont say masterpiece,neutral,neutral,0.021845412093704244,0.9452428954388392,0.032911692467456635,True
please add inbild cinematic minecraft pe thing good good,positive,positive,4.962288540019802e-07,5.490873517184209e-07,0.9999989546837943,True
fav game,negative,negative,0.9905968473064409,0.00028092974396605946,0.009122222949592997,True
beautiful angligant looking like wow,positive,positive,0.000951229613907485,0.002042190420416101,0.9970065799656763,True
nice,positive,positive,2.7823802282984587e-08,3.237382544085161e-08,0.9999999398023723,True
like game game make feel happy,neutral,negative,0.8768637330146146,5.045768203787977e-05,0.12308580930334756,False
keep crashing try create world,neutral,neutral,0.11671457051624161,0.8156591221120495,0.06762630737170885,True
please change control back way havent played literally can play due change made,negative,neutral,0.14333870358747958,0.7991222769749177,0.057539019437602944,False
love much,positive,positive,2.889638658135768e-08,1.9219291404275708e-08,0.9999999518843219,True
nice game graphic like nice game people dont afford pricers,positive,positive,0.2530077122928031,0.0008384159666894379,0.7461538717405076,True
made million,neutral,neutral,0.0034407377998701854,0.9539105088139416,0.042648753386188114,True
please solve camera freezing issue,neutral,neutral,0.018163546305156483,0.9456031141437428,0.03623333955110092,True
bel gioco qualcuno sa come giocare da pc con un amico che lo usa da smartphone,neutral,neutral,0.03547271885491575,0.928907953094788,0.03561932805029615,True
good game,positive,positive,0.01214113235802541,7.349976979480037e-08,0.987858794142205,True
beta tester crazy using deferred shader mcpe much lagger using java shader pojavlauncer getting fps using pojavlauncer use deferred shader mcpe getting well still beta hope final product isnt laggy thanks,negative,negative,0.267264801017109,0.292003322692478,0.44073187629041305,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
like,neutral,neutral,0.025263589890683173,0.9483066857898824,0.02642972431943433,True
stop messing around control bring back used jesus,neutral,neutral,0.11122456517758683,0.6936011534503985,0.1951742813720146,True
nice,positive,positive,2.7823802282984587e-08,3.237382544085161e-08,0.9999999398023723,True
freeze,neutral,neutral,0.030162013998174225,0.9599015150375758,0.009936470964250162,True
favorite second game ever first favorite free fire max fantastic game,positive,positive,0.004132281571398582,0.0012402963882355786,0.9946274220403658,True
love minecraft good nice game like minecraft,positive,positive,1.7504697264619315e-10,8.764778559695832e-11,0.9999999997373051,True
one favourite game,negative,negative,0.9991537340703802,5.3266202937203664e-05,0.0007929997266824065,True
personally think game bad playing java edition pc wanted play im another place like playing minecraft phone new joystick bad took hour find setting change heard hardcore minecraft coming bedrock put hardcore game im gon leave five star reviewedit hardcore,negative,negative,0.9835520209145611,0.0002659985616784103,0.016181980523760593,True
loved playing got boring didnt friend play worth money,negative,negative,0.734559142955774,0.02218564744160762,0.24325520960261834,True
gr game ever,negative,negative,0.9916653298919851,3.34567635853865e-05,0.008301213344429587,True
addicting much fun could spend hour game scary level fun stressful,negative,negative,0.836855815773916,0.00015790212120215142,0.16298628210488178,True
ive minecraft decade alot changed since many thing theyve added since last played mobile near dear heart since started minecraft honest still need tweak wish mobile toggle cord button like java would come handy much aswell pov button people easily see thing different perspective overall love game continue love,positive,positive,0.02452475546742033,0.00040962732333373503,0.9750656172092459,True
great free world simulation game,positive,positive,1.345689864428696e-06,1.3935432013242512e-06,0.9999972607669342,True
best game unfortumatly knockoff still,positive,positive,2.187140221630904e-06,1.0905572451838868e-06,0.9999967223025332,True
op,neutral,neutral,0.016111775784062008,0.9499309627994185,0.03395726141651928,True
excellent masterpiece game mojang made,positive,positive,0.029556381679004904,0.01868663551948748,0.9517569828015077,True
good game,positive,positive,0.01214113235802541,7.349976979480037e-08,0.987858794142205,True
en efecto e cine,neutral,neutral,0.02348821668893932,0.941269064402929,0.03524271890813163,True
best game ever made,positive,positive,3.08148481463741e-07,1.5409217101122804e-07,0.9999995377593476,True
pointer map,neutral,neutral,0.030685706657782315,0.9535346316775296,0.01577966166468804,True
cant leave beta mode play store say im beta tester minecraft beta anyone help fixing,neutral,neutral,0.053451990819324544,0.8879654326445544,0.05858257653612126,True
